timestep_4,technology_2,technology_3,parameter,value
h0526,offshore,offshore_a,avaConv,0.78034722
h0527,offshore,offshore_a,avaConv,0.748029119
h0528,offshore,offshore_a,avaConv,0.65242162
h0529,offshore,offshore_a,avaConv,0.557459023
h0530,offshore,offshore_a,avaConv,0.536223249
h0531,offshore,offshore_a,avaConv,0.544953701
h0532,offshore,offshore_a,avaConv,0.564933025
h0533,offshore,offshore_a,avaConv,0.693054905
h0534,offshore,offshore_a,avaConv,0.755357181
h0535,offshore,offshore_a,avaConv,0.753731622
h0536,offshore,offshore_a,avaConv,0.76984084
h0537,offshore,offshore_a,avaConv,0.711246231
h0538,offshore,offshore_a,avaConv,0.640182749
h0539,offshore,offshore_a,avaConv,0.588744057
h0540,offshore,offshore_a,avaConv,0.580913911
h0541,offshore,offshore_a,avaConv,0.547963763
h0542,offshore,offshore_a,avaConv,0.540380649
h0543,offshore,offshore_a,avaConv,0.44252351
h0544,offshore,offshore_a,avaConv,0.424978024
h0545,offshore,offshore_a,avaConv,0.422651789
h0546,offshore,offshore_a,avaConv,0.40540386
h0547,offshore,offshore_a,avaConv,0.427684416
h0548,offshore,offshore_a,avaConv,0.513433388
h0549,offshore,offshore_a,avaConv,0.497373473
h0550,offshore,offshore_a,avaConv,0.571013673
h0551,offshore,offshore_a,avaConv,0.613169732
h0552,offshore,offshore_a,avaConv,0.688819092
h0553,offshore,offshore_a,avaConv,0.690591919
h0554,offshore,offshore_a,avaConv,0.723353442
