technology_1,technology_2,region_2,parameter,value
X_Fuel_Cell,,LV,capaConvResi,4.70E-05
X_Fuel_Cell,,NL,capaConvResi,4.16E-05
X_Fuel_Cell,,BE,capaConvResi,4.68E-05
X_Fuel_Cell,,CZ,capaConvResi,4.54E-05
X_Fuel_Cell,,HU,capaConvResi,4.53E-05
X_Fuel_Cell,,SK,capaConvResi,4.59E-05
X_Fuel_Cell,,HR,capaConvResi,4.35E-05
X_Fuel_Cell,,SI,capaConvResi,4.38E-05
X_Fuel_Cell,,BG,capaConvResi,4.37E-05
X_Fuel_Cell,,RO,capaConvResi,4.33E-05
X_Fuel_Cell,,TR,capaConvResi,4.65E-05
X_Fuel_Cell,,FR,capaConvResi,4.79E-05
X_Fuel_Cell,,LU,capaConvResi,4.52E-05
X_Fuel_Cell,,IE,capaConvResi,3.99E-05
X_Fuel_Cell,,UK,capaConvResi,4.40E-05
X_Fuel_Cell,,GR,capaConvResi,4.54E-05
X_Fuel_Cell,,PT,capaConvResi,3.67E-05
X_Fuel_Cell,,ES,capaConvResi,3.65E-05
X_Fuel_Cell,,IT,capaConvResi,4.31E-05
X_Fuel_Cell,,PL,capaConvResi,4.54E-05
X_Fuel_Cell,,NO,capaConvResi,4.20E-05
X_Fuel_Cell,,FI,capaConvResi,3.54E-05
X_Fuel_Cell,,SE,capaConvResi,4.39E-05
X_Fuel_Cell,,DK,capaConvResi,4.52E-05
X_Fuel_Cell,,CH,capaConvResi,4.58E-05
RES_Hydro_Small,,AT,capaConvResi,6.014
RES_Hydro_Small,,NONEU_Balkan,capaConvResi,3.624
RES_Hydro_Small,,LT,capaConvResi,0.1292
RES_Hydro_Small,,LV,capaConvResi,1.539224537
RES_Hydro_Small,,NL,capaConvResi,0.038
RES_Hydro_Small,,BE,capaConvResi,0.090751206
RES_Hydro_Small,,CZ,capaConvResi,0.219973771
RES_Hydro_Small,,HU,capaConvResi,0.04938805
RES_Hydro_Small,,SK,capaConvResi,1.547007766
RES_Hydro_Small,,HR,capaConvResi,1.844917657
RES_Hydro_Small,,SI,capaConvResi,1.016831479
RES_Hydro_Small,,BG,capaConvResi,2.272146349
RES_Hydro_Small,,RO,capaConvResi,6.246843482
RES_Hydro_Small,,TR,capaConvResi,6.8
RES_Hydro_Small,,FR,capaConvResi,10.325
RES_Hydro_Small,,LU,capaConvResi,0.039747423
RES_Hydro_Small,,IE,capaConvResi,0.144698704
RES_Hydro_Small,,UK,capaConvResi,0.943567379
RES_Hydro_Small,,GR,capaConvResi,0.225511174
RES_Hydro_Small,,PT,capaConvResi,6.550449415
RES_Hydro_Small,,ES,capaConvResi,13.63240633
RES_Hydro_Small,,IT,capaConvResi,7.368
RES_Hydro_Small,,PL,capaConvResi,0.853707955
RES_Hydro_Small,,NO,capaConvResi,6.3
RES_Hydro_Small,,FI,capaConvResi,2.5988106
RES_Hydro_Small,,SE,capaConvResi,11.22
RES_Hydro_Small,,CH,capaConvResi,3.854
P_Coal_Hardcoal,,AT,capaConvResi,0.023397551
P_Coal_Hardcoal,,NL,capaConvResi,4.937550853
P_Coal_Hardcoal,,BE,capaConvResi,1.012177137
P_Coal_Hardcoal,,CZ,capaConvResi,0.912486818
P_Coal_Hardcoal,,HU,capaConvResi,0.015016069
P_Coal_Hardcoal,,SK,capaConvResi,0.078817051
P_Coal_Hardcoal,,HR,capaConvResi,0.43058579
P_Coal_Hardcoal,,BG,capaConvResi,0.163046598
P_Coal_Hardcoal,,TR,capaConvResi,6.730129151
P_Coal_Hardcoal,,FR,capaConvResi,0.013222424
P_Coal_Hardcoal,,UK,capaConvResi,5.729821622
P_Coal_Hardcoal,,PT,capaConvResi,1.198374302
P_Coal_Hardcoal,,ES,capaConvResi,1.479896757
P_Coal_Hardcoal,,IT,capaConvResi,8.691130367
P_Coal_Hardcoal,,PL,capaConvResi,6.290874178
P_Coal_Hardcoal,,FI,capaConvResi,1.401401402
P_Coal_Hardcoal,,DK,capaConvResi,0.900858578
X_SMR_CCS,,AT,capaConvResi,3.92E-07
X_SMR_CCS,,NONEU_Balkan,capaConvResi,3.81E-07
X_SMR_CCS,,EE,capaConvResi,3.98E-07
