timestep_3,technology_1,region_2,region_3,value,parameter
h0078,D_PHS,,IT,15.102,stInflow
h0078,D_PHS,,NO,24.7,stInflow
h0078,D_PHS,,SE,4.98,stInflow
h0079,D_PHS,,AT,7.846,stInflow
h0079,D_PHS,,CH,10.39,stInflow
h0079,D_PHS,Germany_,,5.9551,stInflow
h0079,D_PHS,,FR,12.716,stInflow
h0079,D_PHS,,IT,15.102,stInflow
h0079,D_PHS,,NO,24.7,stInflow
h0079,D_PHS,,SE,4.98,stInflow
h0080,D_PHS,,AT,7.846,stInflow
h0080,D_PHS,,CH,10.39,stInflow
h0080,D_PHS,Germany_,,5.9551,stInflow
h0080,D_PHS,,FR,12.716,stInflow
h0080,D_PHS,,IT,15.102,stInflow
h0080,D_PHS,,NO,24.7,stInflow
h0080,D_PHS,,SE,4.98,stInflow
h0081,D_PHS,,AT,7.846,stInflow
h0081,D_PHS,,CH,10.39,stInflow
h0081,D_PHS,Germany_,,5.9551,stInflow
h0081,D_PHS,,FR,12.716,stInflow
h0081,D_PHS,,IT,15.102,stInflow
h0081,D_PHS,,NO,24.7,stInflow
h0081,D_PHS,,SE,4.98,stInflow
h0082,D_PHS,,AT,7.846,stInflow
h0082,D_PHS,,CH,10.39,stInflow
h0082,D_PHS,Germany_,,5.9551,stInflow
h0082,D_PHS,,FR,12.716,stInflow
h0082,D_PHS,,IT,15.102,stInflow
h0082,D_PHS,,NO,24.7,stInflow
h0082,D_PHS,,SE,4.98,stInflow
h0083,D_PHS,,AT,7.846,stInflow
h0083,D_PHS,,CH,10.39,stInflow
h0083,D_PHS,Germany_,,5.9551,stInflow
h0083,D_PHS,,FR,12.716,stInflow
h0083,D_PHS,,IT,15.102,stInflow
h0083,D_PHS,,NO,24.7,stInflow
h0083,D_PHS,,SE,4.98,stInflow
h0084,D_PHS,,AT,7.846,stInflow
h0084,D_PHS,,CH,10.39,stInflow
h0084,D_PHS,Germany_,,5.9551,stInflow
h0084,D_PHS,,FR,12.716,stInflow
h0084,D_PHS,,IT,15.102,stInflow
h0084,D_PHS,,NO,24.7,stInflow
h0084,D_PHS,,SE,4.98,stInflow
h0085,D_PHS,,AT,7.846,stInflow
h0085,D_PHS,,CH,10.39,stInflow
h0085,D_PHS,Germany_,,5.9551,stInflow
