region_1,region_2,carrier_1,parameter,timestep_2,value
DK,DK,heatResidental,dem,d018,3.6191642448749994
ES,ES,heatResidental,dem,d018,14.557745948750002
FI,FI,heatResidental,dem,d018,11.360693366666666
FR,FR,heatResidental,dem,d018,37.31731698916666
GR,GR,heatResidental,dem,d018,3.946488253791666
HR,HR,heatResidental,dem,d018,0.8726409849166666
HU,HU,heatResidental,dem,d018,3.082826515083333
IE,IE,heatResidental,dem,d018,2.2362139108750005
IT,IT,heatResidental,dem,d018,27.042673929208338
LU,LU,heatResidental,dem,d018,0.29898943329166666
NL,NL,heatResidental,dem,d018,9.286935672250001
NO,NO,heatResidental,dem,d018,1.767810642875
PL,PL,heatResidental,dem,d018,10.160835721875
PT,PT,heatResidental,dem,d018,4.281520519
RO,RO,heatResidental,dem,d018,1.9444807249583338
SE,SE,heatResidental,dem,d018,9.776682300708332
SI,SI,heatResidental,dem,d018,0.8725451753333332
SK,SK,heatResidental,dem,d018,0.7236721192916669
