technology_1,region_1,region_2,parameter,timestep_2,value
pumpedHydro,DE,DE12,stInflow,d024,0.042265624
pumpedHydro,DE,DEA5,stInflow,d024,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d024,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d024,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d024,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d024,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d024,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d024,0.077229545
pumpedHydro,DE,DE23,stInflow,d024,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d024,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d024,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d024,0.131992313
pumpedHydro,DE,DE13,stInflow,d024,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d024,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d025,0.042265624
pumpedHydro,DE,DEA5,stInflow,d025,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d025,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d025,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d025,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d025,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d025,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d025,0.077229545
pumpedHydro,DE,DE23,stInflow,d025,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d025,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d025,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d025,0.131992313
pumpedHydro,DE,DE13,stInflow,d025,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d025,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d026,0.042265624
pumpedHydro,DE,DEA5,stInflow,d026,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d026,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d026,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d026,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d026,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d026,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d026,0.077229545
pumpedHydro,DE,DE23,stInflow,d026,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d026,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d026,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d026,0.131992313
pumpedHydro,DE,DE13,stInflow,d026,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d026,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d027,0.042265624
pumpedHydro,DE,DEA5,stInflow,d027,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d027,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d027,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d027,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d027,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d027,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d027,0.077229545
pumpedHydro,DE,DE23,stInflow,d027,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d027,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d027,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d027,0.131992313
pumpedHydro,DE,DE13,stInflow,d027,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d027,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d028,0.042265624
pumpedHydro,DE,DEA5,stInflow,d028,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d028,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d028,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d028,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d028,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d028,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d028,0.077229545
pumpedHydro,DE,DE23,stInflow,d028,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d028,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d028,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d028,0.131992313
pumpedHydro,DE,DE13,stInflow,d028,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d028,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d029,0.042265624
pumpedHydro,DE,DEA5,stInflow,d029,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d029,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d029,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d029,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d029,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d029,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d029,0.077229545
pumpedHydro,DE,DE23,stInflow,d029,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d029,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d029,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d029,0.131992313
pumpedHydro,DE,DE13,stInflow,d029,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d029,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d030,0.042265624
pumpedHydro,DE,DEA5,stInflow,d030,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d030,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d030,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d030,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d030,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d030,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d030,0.077229545
pumpedHydro,DE,DE23,stInflow,d030,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d030,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d030,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d030,0.131992313
pumpedHydro,DE,DE13,stInflow,d030,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d030,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d031,0.042265624
pumpedHydro,DE,DEA5,stInflow,d031,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d031,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d031,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d031,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d031,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d031,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d031,0.077229545
pumpedHydro,DE,DE23,stInflow,d031,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d031,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d031,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d031,0.131992313
pumpedHydro,DE,DE13,stInflow,d031,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d031,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d032,0.042265624
pumpedHydro,DE,DEA5,stInflow,d032,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d032,0.11092971000000001
