technology_1,technology_2,region_1,parameter,timestep_2,value
openspace,openspace_a,LU,avaConv,d011,0.05372645833333333
openspace,openspace_a,NL,avaConv,d011,0.04923133333333333
openspace,openspace_a,NO,avaConv,d011,0.025434791666666668
openspace,openspace_a,PL,avaConv,d011,0.025714333333333336
openspace,openspace_a,PT,avaConv,d011,0.07998004166666667
openspace,openspace_a,RO,avaConv,d011,0.05439508333333332
openspace,openspace_a,SE,avaConv,d011,0.010481791666666665
openspace,openspace_a,SI,avaConv,d011,0.06280333333333334
openspace,openspace_a,SK,avaConv,d011,0.035604333333333335
openspace,openspace_a,UK,avaConv,d011,0.02371891666666667
openspace,openspace_a,EE,avaConv,d011,0.012135124999999998
openspace,openspace_a,LT,avaConv,d011,0.008419083333333334
openspace,openspace_a,LV,avaConv,d011,0.007577458333333333
openspace,openspace_a,NONEU_Balkan,avaConv,d011,0.05325171666666667
openspace,openspace_a,TR,avaConv,d011,0.06854316666666667
openspace,openspace_a,AT,avaConv,d012,0.061829749999999996
openspace,openspace_a,BE,avaConv,d012,0.061460916666666664
openspace,openspace_a,BG,avaConv,d012,0.038308833333333334
openspace,openspace_a,CH,avaConv,d012,0.08460895833333333
openspace,openspace_a,CZ,avaConv,d012,0.05084958333333334
openspace,openspace_a,DK,avaConv,d012,0.023562500000000004
openspace,openspace_a,ES,avaConv,d012,0.08316899999999999
openspace,openspace_a,FI,avaConv,d012,0.01191975
openspace,openspace_a,FR,avaConv,d012,0.034944
openspace,openspace_a,GR,avaConv,d012,0.07479208333333333
openspace,openspace_a,HR,avaConv,d012,0.08703620833333335
openspace,openspace_a,HU,avaConv,d012,0.10047354166666667
openspace,openspace_a,IE,avaConv,d012,0.020106083333333333
openspace,openspace_a,IT,avaConv,d012,0.10094120833333332
openspace,openspace_a,LU,avaConv,d012,0.04110745833333333
openspace,openspace_a,NL,avaConv,d012,0.052254833333333334
openspace,openspace_a,NO,avaConv,d012,0.037540833333333336
openspace,openspace_a,PL,avaConv,d012,0.014669791666666666
openspace,openspace_a,PT,avaConv,d012,0.07629575000000001
openspace,openspace_a,RO,avaConv,d012,0.08348608333333334
openspace,openspace_a,SE,avaConv,d012,0.0163445
openspace,openspace_a,SI,avaConv,d012,0.09719812500000001
openspace,openspace_a,SK,avaConv,d012,0.055807083333333334
openspace,openspace_a,UK,avaConv,d012,0.019792541666666667
openspace,openspace_a,EE,avaConv,d012,0.031329166666666665
openspace,openspace_a,LT,avaConv,d012,0.027154708333333333
openspace,openspace_a,LV,avaConv,d012,0.024233750000000002
openspace,openspace_a,NONEU_Balkan,avaConv,d012,0.06594719308333333
openspace,openspace_a,TR,avaConv,d012,0.07479208333333333
openspace,openspace_a,AT,avaConv,d013,0.042306333333333335
openspace,openspace_a,BE,avaConv,d013,0.0615045
openspace,openspace_a,BG,avaConv,d013,0.14204695833333333
openspace,openspace_a,CH,avaConv,d013,0.09920970833333333
openspace,openspace_a,CZ,avaConv,d013,0.04689408333333333
openspace,openspace_a,DK,avaConv,d013,0.024590666666666663
openspace,openspace_a,ES,avaConv,d013,0.08412495833333333
openspace,openspace_a,FI,avaConv,d013,0.004648
openspace,openspace_a,FR,avaConv,d013,0.03922941666666666
openspace,openspace_a,GR,avaConv,d013,0.13263358333333333
openspace,openspace_a,HR,avaConv,d013,0.04317219270833333
openspace,openspace_a,HU,avaConv,d013,0.041726041666666665
openspace,openspace_a,IE,avaConv,d013,0.013646041666666666
openspace,openspace_a,IT,avaConv,d013,0.049075375000000004
openspace,openspace_a,LU,avaConv,d013,0.06967245833333334
openspace,openspace_a,NL,avaConv,d013,0.0684295
openspace,openspace_a,NO,avaConv,d013,0.04024354166666667
openspace,openspace_a,PL,avaConv,d013,0.04549675
openspace,openspace_a,PT,avaConv,d013,0.08570825
openspace,openspace_a,RO,avaConv,d013,0.10483470833333332
openspace,openspace_a,SE,avaConv,d013,0.020061708333333334
openspace,openspace_a,SI,avaConv,d013,0.011782833333333333
openspace,openspace_a,SK,avaConv,d013,0.068382875
openspace,openspace_a,UK,avaConv,d013,0.025537458333333332
openspace,openspace_a,EE,avaConv,d013,0.014439291666666665
openspace,openspace_a,LT,avaConv,d013,0.036279374999999996
openspace,openspace_a,LV,avaConv,d013,0.024280375000000003
